shot_num_from_caption,json_path,frame_number
10,demo/data/generation_inputs_video_only_json/0056.json,"[[0, 25], [25, 50], [50, 71], [71, 92], [92, 113], [113, 138], [138, 163], [163, 188], [188, 217], [217, 246]]"
10,demo/data/generation_inputs_video_only_json/0057.json,"[[0, 25], [25, 46], [46, 67], [67, 88], [88, 109], [109, 134], [134, 155], [155, 180], [180, 209], [209, 242]]"
11,demo/data/generation_inputs_video_only_json/0058.json,"[[0, 25], [25, 46], [46, 59], [59, 84], [84, 105], [105, 126], [126, 143], [143, 168], [168, 189], [189, 222], [222, 247]]"
4,demo/data/generation_inputs_video_only_json/0059.json,"[[0, 57], [57, 114], [114, 175], [175, 236]]"
3,demo/data/generation_inputs_video_only_json/0060.json,"[[0, 77], [77, 166], [166, 243]]"
5,demo/data/generation_inputs_video_only_json/0061.json,"[[0, 49], [49, 98], [98, 147], [147, 196], [196, 245]]"
4,demo/data/generation_inputs_video_only_json/0062.json,"[[0, 57], [57, 122], [122, 171], [171, 244]]"
12,demo/data/generation_inputs_video_only_json/0063.json,"[[0, 21], [21, 42], [42, 59], [59, 80], [80, 97], [97, 110], [110, 131], [131, 148], [148, 165], [165, 190], [190, 219], [219, 244]]"
12,demo/data/generation_inputs_video_only_json/0064.json,"[[0, 21], [21, 42], [42, 59], [59, 76], [76, 97], [97, 114], [114, 135], [135, 156], [156, 177], [177, 198], [198, 219], [219, 252]]"
9,demo/data/generation_inputs_video_only_json/0065.json,"[[0, 29], [29, 54], [54, 79], [79, 108], [108, 137], [137, 166], [166, 195], [195, 220], [220, 245]]"
9,demo/data/generation_inputs_video_only_json/0066.json,"[[0, 25], [25, 50], [50, 75], [75, 100], [100, 125], [125, 150], [150, 183], [183, 216], [216, 249]]"
2,demo/data/generation_inputs_video_only_json/0067.json,"[[0, 117], [117, 242]]"
4,demo/data/generation_inputs_video_only_json/0068.json,"[[0, 57], [57, 114], [114, 179], [179, 244]]"
6,demo/data/generation_inputs_video_only_json/0069.json,"[[0, 41], [41, 82], [82, 123], [123, 164], [164, 205], [205, 246]]"
9,demo/data/generation_inputs_video_only_json/0070.json,"[[0, 29], [29, 54], [54, 79], [79, 104], [104, 133], [133, 162], [162, 191], [191, 220], [220, 249]]"
6,demo/data/generation_inputs_video_only_json/0071.json,"[[0, 41], [41, 86], [86, 123], [123, 160], [160, 201], [201, 242]]"
8,demo/data/generation_inputs_video_only_json/0072.json,"[[0, 33], [33, 62], [62, 91], [91, 120], [120, 149], [149, 178], [178, 211], [211, 248]]"
10,demo/data/generation_inputs_video_only_json/0073.json,"[[0, 25], [25, 50], [50, 75], [75, 100], [100, 125], [125, 150], [150, 175], [175, 200], [200, 225], [225, 250]]"
5,demo/data/generation_inputs_video_only_json/0074.json,"[[0, 45], [45, 86], [86, 139], [139, 180], [180, 241]]"
7,demo/data/generation_inputs_video_only_json/0075.json,"[[0, 33], [33, 62], [62, 95], [95, 132], [132, 169], [169, 206], [206, 239]]"
8,demo/data/generation_inputs_video_only_json/0076.json,"[[0, 33], [33, 62], [62, 91], [91, 124], [124, 157], [157, 190], [190, 215], [215, 244]]"
8,demo/data/generation_inputs_video_only_json/0077.json,"[[0, 29], [29, 58], [58, 83], [83, 108], [108, 141], [141, 174], [174, 207], [207, 244]]"
8,demo/data/generation_inputs_video_only_json/0078.json,"[[0, 29], [29, 58], [58, 83], [83, 116], [116, 149], [149, 182], [182, 215], [215, 244]]"
13,demo/data/generation_inputs_video_only_json/0079.json,"[[0, 21], [21, 38], [38, 55], [55, 72], [72, 89], [89, 110], [110, 127], [127, 144], [144, 165], [165, 182], [182, 203], [203, 224], [224, 245]]"
10,demo/data/generation_inputs_video_only_json/0080.json,"[[0, 25], [25, 50], [50, 75], [75, 100], [100, 125], [125, 150], [150, 175], [175, 200], [200, 225], [225, 250]]"
9,demo/data/generation_inputs_video_only_json/0081.json,"[[0, 25], [25, 50], [50, 75], [75, 100], [100, 129], [129, 154], [154, 183], [183, 220], [220, 249]]"
8,demo/data/generation_inputs_video_only_json/0082.json,"[[0, 33], [33, 62], [62, 91], [91, 116], [116, 149], [149, 178], [178, 207], [207, 244]]"
11,demo/data/generation_inputs_video_only_json/0083.json,"[[0, 21], [21, 42], [42, 59], [59, 80], [80, 101], [101, 118], [118, 139], [139, 164], [164, 185], [185, 218], [218, 247]]"
8,demo/data/generation_inputs_video_only_json/0084.json,"[[0, 29], [29, 54], [54, 83], [83, 112], [112, 141], [141, 174], [174, 207], [207, 240]]"
8,demo/data/generation_inputs_video_only_json/0085.json,"[[0, 29], [29, 54], [54, 83], [83, 112], [112, 141], [141, 174], [174, 207], [207, 244]]"
7,demo/data/generation_inputs_video_only_json/0086.json,"[[0, 33], [33, 66], [66, 99], [99, 136], [136, 177], [177, 210], [210, 243]]"
10,demo/data/generation_inputs_video_only_json/0087.json,"[[0, 21], [21, 42], [42, 71], [71, 88], [88, 109], [109, 130], [130, 171], [171, 204], [204, 225], [225, 246]]"
6,demo/data/generation_inputs_video_only_json/0088.json,"[[0, 41], [41, 82], [82, 115], [115, 156], [156, 197], [197, 246]]"
6,demo/data/generation_inputs_video_only_json/0089.json,"[[0, 37], [37, 78], [78, 119], [119, 152], [152, 201], [201, 246]]"
7,demo/data/generation_inputs_video_only_json/0090.json,"[[0, 33], [33, 66], [66, 99], [99, 136], [136, 173], [173, 206], [206, 243]]"
5,demo/data/generation_inputs_video_only_json/0091.json,"[[0, 49], [49, 98], [98, 147], [147, 196], [196, 245]]"
11,demo/data/generation_inputs_video_only_json/0092.json,"[[0, 21], [21, 42], [42, 63], [63, 84], [84, 105], [105, 126], [126, 147], [147, 172], [172, 193], [193, 222], [222, 251]]"
9,demo/data/generation_inputs_video_only_json/0093.json,"[[0, 25], [25, 46], [46, 75], [75, 104], [104, 129], [129, 158], [158, 187], [187, 216], [216, 245]]"
10,demo/data/generation_inputs_video_only_json/0094.json,"[[0, 25], [25, 46], [46, 67], [67, 92], [92, 113], [113, 138], [138, 163], [163, 188], [188, 217], [217, 246]]"
7,demo/data/generation_inputs_video_only_json/0095.json,"[[0, 37], [37, 70], [70, 99], [99, 132], [132, 165], [165, 206], [206, 243]]"
15,demo/data/generation_inputs_video_only_json/0096.json,"[[0, 17], [17, 34], [34, 51], [51, 68], [68, 85], [85, 102], [102, 119], [119, 136], [136, 153], [153, 170], [170, 187], [187, 204], [204, 221], [221, 238], [238, 255]]"
7,demo/data/generation_inputs_video_only_json/0097.json,"[[0, 33], [33, 66], [66, 103], [103, 132], [132, 165], [165, 210], [210, 239]]"
7,demo/data/generation_inputs_video_only_json/0098.json,"[[0, 37], [37, 70], [70, 99], [99, 128], [128, 165], [165, 202], [202, 239]]"
7,demo/data/generation_inputs_video_only_json/0099.json,"[[0, 37], [37, 66], [66, 95], [95, 128], [128, 157], [157, 206], [206, 239]]"
4,demo/data/generation_inputs_video_only_json/0100.json,"[[0, 57], [57, 122], [122, 187], [187, 244]]"
9,demo/data/generation_inputs_video_only_json/0101.json,"[[0, 29], [29, 54], [54, 79], [79, 104], [104, 133], [133, 158], [158, 183], [183, 224], [224, 245]]"
10,demo/data/generation_inputs_video_only_json/0102.json,"[[0, 25], [25, 50], [50, 75], [75, 100], [100, 125], [125, 150], [150, 175], [175, 200], [200, 225], [225, 250]]"
10,demo/data/generation_inputs_video_only_json/0103.json,"[[0, 25], [25, 46], [46, 71], [71, 92], [92, 117], [117, 138], [138, 159], [159, 188], [188, 217], [217, 246]]"
5,demo/data/generation_inputs_video_only_json/0104.json,"[[0, 49], [49, 98], [98, 147], [147, 196], [196, 245]]"
9,demo/data/generation_inputs_video_only_json/0105.json,"[[0, 29], [29, 54], [54, 79], [79, 108], [108, 137], [137, 174], [174, 203], [203, 224], [224, 249]]"
11,demo/data/generation_inputs_video_only_json/0106.json,"[[0, 21], [21, 38], [38, 59], [59, 80], [80, 97], [97, 118], [118, 147], [147, 168], [168, 193], [193, 218], [218, 243]]"
12,demo/data/generation_inputs_video_only_json/0107.json,"[[0, 25], [25, 42], [42, 59], [59, 80], [80, 101], [101, 122], [122, 139], [139, 160], [160, 177], [177, 206], [206, 231], [231, 252]]"
11,demo/data/generation_inputs_video_only_json/0108.json,"[[0, 21], [21, 42], [42, 63], [63, 84], [84, 105], [105, 130], [130, 151], [151, 172], [172, 193], [193, 218], [218, 247]]"
4,demo/data/generation_inputs_video_only_json/0109.json,"[[0, 61], [61, 118], [118, 191], [191, 244]]"
5,demo/data/generation_inputs_video_only_json/0110.json,"[[0, 49], [49, 98], [98, 147], [147, 196], [196, 245]]"
6,demo/data/generation_inputs_video_only_json/0111.json,"[[0, 37], [37, 78], [78, 119], [119, 160], [160, 201], [201, 242]]"
5,demo/data/generation_inputs_video_only_json/0112.json,"[[0, 49], [49, 98], [98, 147], [147, 196], [196, 245]]"
5,demo/data/generation_inputs_video_only_json/0113.json,"[[0, 49], [49, 98], [98, 147], [147, 196], [196, 245]]"
5,demo/data/generation_inputs_video_only_json/0114.json,"[[0, 49], [49, 102], [102, 151], [151, 200], [200, 245]]"
11,demo/data/generation_inputs_video_only_json/0115.json,"[[0, 21], [21, 46], [46, 67], [67, 88], [88, 109], [109, 130], [130, 151], [151, 172], [172, 193], [193, 222], [222, 251]]"
4,demo/data/generation_inputs_video_only_json/0116.json,"[[0, 57], [57, 122], [122, 187], [187, 244]]"
6,demo/data/generation_inputs_video_only_json/0117.json,"[[0, 41], [41, 82], [82, 123], [123, 164], [164, 205], [205, 246]]"
8,demo/data/generation_inputs_video_only_json/0118.json,"[[0, 29], [29, 58], [58, 87], [87, 116], [116, 153], [153, 182], [182, 215], [215, 244]]"
5,demo/data/generation_inputs_video_only_json/0119.json,"[[0, 49], [49, 98], [98, 147], [147, 196], [196, 245]]"
8,demo/data/generation_inputs_video_only_json/0120.json,"[[0, 29], [29, 58], [58, 91], [91, 120], [120, 149], [149, 178], [178, 211], [211, 244]]"
7,demo/data/generation_inputs_video_only_json/0121.json,"[[0, 33], [33, 62], [62, 99], [99, 140], [140, 173], [173, 206], [206, 239]]"
11,demo/data/generation_inputs_video_only_json/0122.json,"[[0, 25], [25, 46], [46, 67], [67, 84], [84, 105], [105, 122], [122, 143], [143, 160], [160, 185], [185, 214], [214, 251]]"
10,demo/data/generation_inputs_video_only_json/0123.json,"[[0, 25], [25, 50], [50, 71], [71, 96], [96, 117], [117, 138], [138, 163], [163, 192], [192, 221], [221, 250]]"
8,demo/data/generation_inputs_video_only_json/0124.json,"[[0, 29], [29, 58], [58, 87], [87, 116], [116, 145], [145, 178], [178, 215], [215, 244]]"
5,demo/data/generation_inputs_video_only_json/0125.json,"[[0, 49], [49, 98], [98, 147], [147, 196], [196, 245]]"
10,demo/data/generation_inputs_video_only_json/0126.json,"[[0, 25], [25, 50], [50, 75], [75, 100], [100, 125], [125, 150], [150, 175], [175, 200], [200, 225], [225, 250]]"
8,demo/data/generation_inputs_video_only_json/0127.json,"[[0, 29], [29, 58], [58, 87], [87, 116], [116, 145], [145, 174], [174, 215], [215, 248]]"
2,demo/data/generation_inputs_video_only_json/0128.json,"[[0, 117], [117, 242]]"
8,demo/data/generation_inputs_video_only_json/0129.json,"[[0, 29], [29, 54], [54, 83], [83, 124], [124, 149], [149, 178], [178, 227], [227, 248]]"
7,demo/data/generation_inputs_video_only_json/0130.json,"[[0, 37], [37, 70], [70, 103], [103, 136], [136, 173], [173, 214], [214, 243]]"
15,demo/data/generation_inputs_video_only_json/0131.json,"[[0, 17], [17, 34], [34, 51], [51, 68], [68, 85], [85, 102], [102, 119], [119, 136], [136, 153], [153, 170], [170, 187], [187, 204], [204, 221], [221, 238], [238, 255]]"
13,demo/data/generation_inputs_video_only_json/0132.json,"[[0, 21], [21, 38], [38, 55], [55, 72], [72, 89], [89, 106], [106, 123], [123, 140], [140, 161], [161, 178], [178, 199], [199, 224], [224, 245]]"
7,demo/data/generation_inputs_video_only_json/0133.json,"[[0, 33], [33, 66], [66, 99], [99, 136], [136, 169], [169, 206], [206, 243]]"
7,demo/data/generation_inputs_video_only_json/0134.json,"[[0, 33], [33, 70], [70, 95], [95, 128], [128, 169], [169, 206], [206, 243]]"
5,demo/data/generation_inputs_video_only_json/0135.json,"[[0, 49], [49, 98], [98, 147], [147, 196], [196, 245]]"
5,demo/data/generation_inputs_video_only_json/0136.json,"[[0, 45], [45, 94], [94, 151], [151, 204], [204, 245]]"
6,demo/data/generation_inputs_video_only_json/0137.json,"[[0, 41], [41, 82], [82, 123], [123, 164], [164, 205], [205, 246]]"
10,demo/data/generation_inputs_video_only_json/0138.json,"[[0, 25], [25, 50], [50, 75], [75, 100], [100, 121], [121, 142], [142, 171], [171, 204], [204, 229], [229, 250]]"
3,demo/data/generation_inputs_video_only_json/0139.json,"[[0, 81], [81, 162], [162, 243]]"
10,demo/data/generation_inputs_video_only_json/0140.json,"[[0, 25], [25, 46], [46, 67], [67, 88], [88, 113], [113, 134], [134, 155], [155, 180], [180, 209], [209, 242]]"
10,demo/data/generation_inputs_video_only_json/0141.json,"[[0, 25], [25, 50], [50, 71], [71, 96], [96, 121], [121, 146], [146, 171], [171, 196], [196, 225], [225, 250]]"
10,demo/data/generation_inputs_video_only_json/0142.json,"[[0, 25], [25, 46], [46, 71], [71, 96], [96, 117], [117, 142], [142, 171], [171, 196], [196, 229], [229, 250]]"
6,demo/data/generation_inputs_video_only_json/0143.json,"[[0, 37], [37, 82], [82, 119], [119, 168], [168, 205], [205, 242]]"
5,demo/data/generation_inputs_video_only_json/0144.json,"[[0, 49], [49, 98], [98, 147], [147, 196], [196, 245]]"
10,demo/data/generation_inputs_video_only_json/0145.json,"[[0, 25], [25, 46], [46, 67], [67, 88], [88, 109], [109, 134], [134, 159], [159, 188], [188, 217], [217, 246]]"
9,demo/data/generation_inputs_video_only_json/0146.json,"[[0, 25], [25, 50], [50, 75], [75, 96], [96, 117], [117, 142], [142, 167], [167, 208], [208, 241]]"
5,demo/data/generation_inputs_video_only_json/0147.json,"[[0, 49], [49, 94], [94, 139], [139, 192], [192, 245]]"
9,demo/data/generation_inputs_video_only_json/0148.json,"[[0, 25], [25, 46], [46, 71], [71, 96], [96, 121], [121, 154], [154, 179], [179, 212], [212, 241]]"
6,demo/data/generation_inputs_video_only_json/0149.json,"[[0, 41], [41, 82], [82, 123], [123, 164], [164, 205], [205, 246]]"
11,demo/data/generation_inputs_video_only_json/0150.json,"[[0, 21], [21, 42], [42, 67], [67, 88], [88, 109], [109, 134], [134, 155], [155, 176], [176, 201], [201, 226], [226, 247]]"
9,demo/data/generation_inputs_video_only_json/0151.json,"[[0, 25], [25, 50], [50, 71], [71, 96], [96, 137], [137, 170], [170, 203], [203, 228], [228, 245]]"
7,demo/data/generation_inputs_video_only_json/0152.json,"[[0, 37], [37, 66], [66, 99], [99, 136], [136, 169], [169, 210], [210, 239]]"
6,demo/data/generation_inputs_video_only_json/0153.json,"[[0, 37], [37, 78], [78, 119], [119, 160], [160, 209], [209, 246]]"
4,demo/data/generation_inputs_video_only_json/0154.json,"[[0, 57], [57, 114], [114, 179], [179, 240]]"
4,demo/data/generation_inputs_video_only_json/0155.json,"[[0, 57], [57, 114], [114, 187], [187, 244]]"
13,demo/data/generation_inputs_video_only_json/0156.json,"[[0, 21], [21, 38], [38, 51], [51, 64], [64, 77], [77, 90], [90, 111], [111, 132], [132, 161], [161, 174], [174, 195], [195, 224], [224, 241]]"
9,demo/data/generation_inputs_video_only_json/0157.json,"[[0, 29], [29, 54], [54, 79], [79, 100], [100, 121], [121, 146], [146, 175], [175, 208], [208, 241]]"
10,demo/data/generation_inputs_video_only_json/0158.json,"[[0, 21], [21, 42], [42, 67], [67, 92], [92, 117], [117, 138], [138, 163], [163, 192], [192, 221], [221, 250]]"
9,demo/data/generation_inputs_video_only_json/0159.json,"[[0, 25], [25, 46], [46, 71], [71, 88], [88, 117], [117, 146], [146, 171], [171, 224], [224, 245]]"
12,demo/data/generation_inputs_video_only_json/0160.json,"[[0, 21], [21, 42], [42, 59], [59, 72], [72, 93], [93, 114], [114, 135], [135, 164], [164, 185], [185, 206], [206, 227], [227, 256]]"
8,demo/data/generation_inputs_video_only_json/0161.json,"[[0, 29], [29, 58], [58, 83], [83, 112], [112, 145], [145, 174], [174, 211], [211, 240]]"
6,demo/data/generation_inputs_video_only_json/0162.json,"[[0, 41], [41, 78], [78, 119], [119, 156], [156, 201], [201, 246]]"
12,demo/data/generation_inputs_video_only_json/0163.json,"[[0, 17], [17, 34], [34, 51], [51, 68], [68, 85], [85, 106], [106, 131], [131, 148], [148, 165], [165, 198], [198, 219], [219, 240]]"
11,demo/data/generation_inputs_video_only_json/0164.json,"[[0, 21], [21, 42], [42, 59], [59, 84], [84, 101], [101, 122], [122, 143], [143, 168], [168, 189], [189, 218], [218, 247]]"
5,demo/data/generation_inputs_video_only_json/0165.json,"[[0, 45], [45, 90], [90, 139], [139, 204], [204, 241]]"
6,demo/data/generation_inputs_video_only_json/0166.json,"[[0, 41], [41, 82], [82, 123], [123, 164], [164, 209], [209, 246]]"
2,demo/data/generation_inputs_video_only_json/0167.json,"[[0, 121], [121, 242]]"
3,demo/data/generation_inputs_video_only_json/0168.json,"[[0, 81], [81, 162], [162, 243]]"
6,demo/data/generation_inputs_video_only_json/0169.json,"[[0, 41], [41, 82], [82, 119], [119, 164], [164, 201], [201, 246]]"
6,demo/data/generation_inputs_video_only_json/0170.json,"[[0, 41], [41, 78], [78, 119], [119, 160], [160, 201], [201, 242]]"
5,demo/data/generation_inputs_video_only_json/0171.json,"[[0, 49], [49, 98], [98, 147], [147, 196], [196, 245]]"
8,demo/data/generation_inputs_video_only_json/0172.json,"[[0, 29], [29, 62], [62, 87], [87, 120], [120, 141], [141, 178], [178, 211], [211, 244]]"
7,demo/data/generation_inputs_video_only_json/0173.json,"[[0, 37], [37, 70], [70, 103], [103, 140], [140, 177], [177, 214], [214, 251]]"
10,demo/data/generation_inputs_video_only_json/0174.json,"[[0, 25], [25, 50], [50, 75], [75, 100], [100, 125], [125, 150], [150, 175], [175, 200], [200, 225], [225, 250]]"
5,demo/data/generation_inputs_video_only_json/0175.json,"[[0, 49], [49, 98], [98, 147], [147, 196], [196, 245]]"
5,demo/data/generation_inputs_video_only_json/0176.json,"[[0, 49], [49, 102], [102, 155], [155, 200], [200, 245]]"
8,demo/data/generation_inputs_video_only_json/0177.json,"[[0, 33], [33, 62], [62, 91], [91, 120], [120, 149], [149, 186], [186, 219], [219, 248]]"
2,demo/data/generation_inputs_video_only_json/0178.json,"[[0, 121], [121, 242]]"
10,demo/data/generation_inputs_video_only_json/0179.json,"[[0, 29], [29, 54], [54, 75], [75, 100], [100, 125], [125, 146], [146, 167], [167, 204], [204, 225], [225, 250]]"
4,demo/data/generation_inputs_video_only_json/0180.json,"[[0, 61], [61, 122], [122, 183], [183, 244]]"
8,demo/data/generation_inputs_video_only_json/0181.json,"[[0, 29], [29, 58], [58, 83], [83, 112], [112, 141], [141, 170], [170, 203], [203, 240]]"
9,demo/data/generation_inputs_video_only_json/0182.json,"[[0, 29], [29, 54], [54, 83], [83, 104], [104, 133], [133, 162], [162, 187], [187, 216], [216, 245]]"
6,demo/data/generation_inputs_video_only_json/0183.json,"[[0, 41], [41, 78], [78, 123], [123, 164], [164, 205], [205, 246]]"
2,demo/data/generation_inputs_video_only_json/0184.json,"[[0, 117], [117, 242]]"
